CaseOrder,Customer_id,Interaction,City,State,County,Zip,Lat,Lng,Population,Area,Timezone,Job,Children,Age,Education,Employment,Income,Marital,Gender,Churn,Outage_sec_perweek,Email,Contacts,Yearly_equip_failure,Techie,Contract,Port_modem,Tablet,InternetService,Phone,Multiple,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,Tenure,MonthlyCharge,Bandwidth_GB_Year,item1,item2,item3,item4,item5,item6,item7,item8
11,J980369,89490f4b-765f-431a-b302-580aae7db71a,Little Meadows,PA,Susquehanna,18830,41.95142,-76.10744,555.0,Urban,America/New_York,"Teacher, special educational needs",7.0,23.0,Regular High School Diploma,Full Time,61229.35,Separated,Female,No,11.84,9.0,0.0,2.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Mailed Check,19.27,177.45,2728.77,4,4,4,7,3,3,3,4
12,E243720,c32b8522-d62a-49b1-a77a-e0534cb1378b,Corozal,PR,Corozal,783,18.3041,-66.32847,33372.0,Rural,America/Puerto_Rico,Maintenance engineer,2.0,56.0,Bachelor's Degree,Full Time,18342.12,Married,Female,No,5.08,17.0,1.0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,No,Electronic Check,7.1,148.36,1180.59,4,4,3,4,4,4,3,4
13,F139569,4828f66e-5592-4c61-bbf4-313cf8731f1c,Conesville,IA,Muscatine,52739,41.37287,-91.36865,556.0,Rural,America/Chicago,"Engineer, broadcasting (operations)",0.0,83.0,Master's Degree,Retired,83671.08,Divorced,Male,No,7.27,9.0,0.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),13.01,136.43,1196.39,1,2,1,4,3,2,3,3
14,X44200,780992d3-d758-4152-aceb-5d59edda3d15,East Livermore,ME,Androscoggin,4228,44.43256,-70.11501,0.0,Urban,America/New_York,Learning disability nurse,5.0,52.0,No Schooling Completed,Retired,115114.57,Separated,Female,No,6.57,14.0,1.0,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Bank Transfer(automatic),16.88,185.66,1948.69,5,6,5,2,4,5,4,4
15,H68068,8dc7ad15-2f59-4c77-9640-6f2c0000b3fc,Hillside,IL,Cook,60162,41.86752,-87.90222,8165.0,Urban,America/Chicago,Automotive engineer,1.0,30.0,Associate's Degree,Full Time,64256.81,Separated,Male,Yes,12.63,10.0,3.0,0.0,No,Month-to-month,No,No,DSL,No,Yes,No,Yes,No,Yes,No,No,Yes,Bank Transfer(automatic),10.06,160.81,2182.14,3,3,4,2,3,4,4,2
16,A403906,df437bd4-bd8a-4c8f-8110-11ed1a7723ea,Saint Germain,WI,Vilas,54558,45.92342,-89.50138,2093.0,Suburban,America/Chicago,Amenity horticulturist,2.0,39.0,Bachelor's Degree,Full Time,89061.45,Divorced,Male,Yes,9.48,13.0,1.0,0.0,No,One year,No,No,None,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Electronic Check,13.87,176.33,1840.01,3,3,3,2,4,3,5,2
17,V847470,bbf5ca9f-cb89-44ea-ac42-3f5862ebdbd0,Modesto,CA,Stanislaus,95351,37.62326,-120.99637,50079.0,Urban,America/Los_Angeles,Applications developer,2.0,63.0,"Some College, 1 or More Years, No Degree",Retired,31659.3,Married,Female,Yes,14.43,13.0,1.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),15.78,195.87,2070.38,3,4,4,3,5,4,4,3
18,F721878,5c3548de-4744-4167-9412-3f018262bab2,Parkton,NC,Robeson,28371,34.90636,-78.98944,7249.0,Rural,America/New_York,Immunologist,2.0,60.0,"9th Grade to 12th Grade, No Diploma",Retired,44142.81,Separated,Male,Yes,10.22,16.0,3.0,0.0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,8.32,203.07,882.1,2,2,4,3,3,4,3,3
19,F487435,200fad69-1e40-4de6-9222-df84d8925000,Oakland,TN,Fayette,38060,35.2091,-89.50332,9463.0,Rural,America/Chicago,"Engineer, electrical",3.0,61.0,Regular High School Diploma,Full Time,39262.14,Widowed,Female,No,11.1,11.0,1.0,0.0,Yes,Two Year,Yes,No,None,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Bank Transfer(automatic),17.11,154.02,1833.1,3,4,3,4,3,2,3,5
20,B561228,5ff2d3a8-6e9f-4bfa-af2b-04e5cdc0a1e0,Trafford,AL,Blount,35172,33.84469,-86.6974,3177.0,Rural,America/Chicago,Broadcast presenter,3.0,23.0,Associate's Degree,Part Time,19494.75,Divorced,Male,Yes,11.09,10.0,1.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),12.81,150.11,1954.08,5,5,5,4,4,4,3,3
21,X325271,ebf7fbd7-9f65-48d8-8f82-b7b7fd4f3412,Kaneville,IL,Kane,60144,41.83594,-88.5206,69.0,Rural,America/Chicago,Counsellor,4.0,55.0,Nursery School to 8th Grade,Retired,39624.21,Never Married,Male,No,12.19,14.0,0.0,3.0,,Month-to-month,No,No,Fiber Optic,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Bank Transfer(automatic),20.45,185.1,2330.32,2,3,3,2,4,2,3,3
22,I282896,69fbc82f-1ea2-47a2-a056-d6f8d428b687,Columbus,OH,Franklin,43215,39.96636,-83.01286,14440.0,Suburban,America/New_York,Geophysical data processor,3.0,30.0,Regular High School Diploma,Retired,32288.12,Divorced,Male,No,6.52,18.0,1.0,0.0,No,Two Year,No,Yes,Fiber Optic,,No,Yes,No,Yes,No,No,No,No,Bank Transfer(automatic),2.42,127.03,594.11,5,5,4,4,3,4,3,5
23,I367206,1937a759-91b7-4390-80f1-6f8e7d81e058,Mallard,IA,Palo Alto,50562,42.96153,-94.64179,381.0,Urban,America/Chicago,"Designer, multimedia",4.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,27442.03,Widowed,Male,No,9.97,16.0,1.0,1.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,6.65,125.56,713.06,3,3,3,2,2,3,5,5
24,N37182,ab3bfaf3-94f1-4a14-b577-0e57178a7645,Baileyville,ME,Washington,4694,45.10333,-67.47223,2193.0,Urban,America/New_York,Event organiser,2.0,68.0,Bachelor's Degree,Full Time,79699.62,Divorced,Male,No,7.49,9.0,0.0,0.0,,One year,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,No,Yes,Electronic Check,8.54,150.33,945.38,4,4,3,5,3,4,4,3
25,U644626,30a2f575-54cc-4894-96b8-358317896f43,Williamsburg,OH,Clermont,45176,39.08339,-84.02314,9434.0,Rural,America/New_York,Equality and diversity officer,3.0,75.0,Regular High School Diploma,Full Time,28520.32,Widowed,Female,Yes,14.55,15.0,1.0,0.0,No,Month-to-month,No,Yes,None,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Credit Card (automatic),5.77,163.31,870.76,3,3,4,2,4,4,3,4
26,A766555,44c6b2bd-74ee-4c80-9b9f-67b544d1e06a,Saint Augustine,FL,St. Johns,32086,29.75675,-81.30311,29568.0,Suburban,America/New_York,Counsellor,1.0,77.0,GED or Alternative Credential,Full Time,12558.83,Separated,Male,Yes,11.38,12.0,1.0,0.0,No,Month-to-month,No,Yes,DSL,Yes,No,No,No,No,No,No,No,No,Bank Transfer(automatic),4.16,94.07,774.29,4,4,4,4,2,4,5,5
27,V54032,eba9d80f-e4e6-4905-81ab-5f5f2a49cc88,Tohatchi,NM,McKinley,87325,36.00209,-108.62285,3089.0,Rural,America/Denver,Psychiatrist,3.0,47.0,Bachelor's Degree,Retired,8762.23,Married,Female,Yes,16.17,15.0,0.0,1.0,,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Mailed Check,10.41,222.96,1506.45,5,3,5,3,3,5,4,4
28,Z301326,f4ba5aef-80af-43fe-a8cb-0592f3013d6b,Erie,MI,Monroe,48133,41.7812,-83.48594,5652.0,Urban,America/Detroit,"Surveyor, commercial/residential",2.0,70.0,Master's Degree,Part Time,43882.72,Widowed,Female,Yes,15.85,12.0,0.0,0.0,,Month-to-month,Yes,No,None,,No,No,Yes,Yes,No,Yes,No,Yes,Electronic Check,1.39,141.09,419.05,2,2,3,4,4,2,2,2
29,J887250,a49a3cbf-182c-49f5-b15f-e124582d2c8f,Moretown,VT,Washington,5660,44.24718,-72.74137,1716.0,Urban,America/New_York,Civil Service administrator,3.0,65.0,Regular High School Diploma,Full Time,10027.02,Separated,Female,Yes,43.93,13.0,2.0,0.0,Yes,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,Yes,No,Bank Transfer(automatic),7.77,230.62,1259.42,3,4,3,3,2,4,4,2
30,Z686376,cddc4b08-7aae-4194-a75c-28bbcc8257f3,Silver Spring,MD,Montgomery,20902,39.04373,-77.04224,52484.0,Suburban,America/New_York,"Radiographer, diagnostic",4.0,69.0,Bachelor's Degree,Student,23273.6,Never Married,Male,Yes,12.35,18.0,1.0,0.0,No,Two Year,No,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit Card (automatic),5.43,259.39,1745.13,4,4,4,3,2,5,5,4
31,L357432,79b827eb-46b9-4737-8484-0b670171bc4b,Whitesboro,NY,Oneida,13492,43.11988,-75.32875,11268.0,Urban,America/New_York,Air traffic controller,9.0,45.0,No Schooling Completed,Part Time,43383.54,Married,Male,No,7.47,14.0,0.0,0.0,No,Two Year,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,Yes,Yes,Credit Card (automatic),11.08,230.96,1795.47,3,2,1,5,3,3,3,2
32,V899967,5cffec4f-2316-4f97-b0d6-106888164492,Sherwood,OH,Defiance,43556,41.30608,-84.56989,1765.0,Rural,America/New_York,Dietitian,1.0,40.0,"9th Grade to 12th Grade, No Diploma",Unemployed,21793.88,Never Married,Female,No,4.78,13.0,2.0,0.0,No,Two Year,No,Yes,None,Yes,Yes,No,Yes,No,,No,No,No,Electronic Check,20.6,147.82,492.48,2,3,4,3,3,2,4,3
33,G571225,c7c6fcb5-eb79-438e-bf66-179ac491274e,Pe Ell,WA,Lewis,98572,46.5512,-123.32437,680.0,Rural,America/Los_Angeles,"Therapist, occupational",6.0,82.0,GED or Alternative Credential,Retired,51960.51,Divorced,Female,Yes,8.91,9.0,0.0,0.0,,Month-to-month,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Electronic Check,4.73,230.24,1013.99,4,4,4,5,2,5,3,5
34,S381541,a81aaffc-186f-46d1-8378-ad11bcedde9c,Seney,MI,Schoolcraft,49883,46.43517,-86.01334,136.0,Rural,America/Detroit,Building services engineer,5.0,61.0,Regular High School Diploma,Full Time,41386.23,Separated,Male,Yes,12.0,8.0,1.0,1.0,No,Month-to-month,No,No,DSL,Yes,Yes,Yes,Yes,No,No,Yes,No,No,Electronic Check,20.9,175.82,2080.86,5,5,4,3,5,3,4,1
35,R195593,fd1b0111-3d91-460d-b26b-d52008c383f8,Chatsworth,IL,Livingston,60921,40.73772,-88.28785,1517.0,Urban,America/Chicago,Information officer,2.0,59.0,Bachelor's Degree,Full Time,11211.59,Widowed,Male,Yes,5.31,15.0,1.0,0.0,No,One year,Yes,No,Fiber Optic,,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Mailed Check,3.47,267.44,1081.81,6,5,5,5,2,6,5,5
36,I327596,c329889a-43ac-4d20-98f3-50d1c4c527fb,Albion,MI,Calhoun,49224,42.28109,-84.75184,14103.0,Suburban,America/Detroit,Outdoor activities/education manager,1.0,52.0,"9th Grade to 12th Grade, No Diploma",Full Time,8283.29,Never Married,Male,Yes,13.93,11.0,0.0,1.0,,Month-to-month,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Mailed Check,5.48,162.61,1209.96,4,2,3,4,3,3,4,3
37,U790894,01fa4db5-6be5-47de-a3ac-53b95e5c44a8,Marlborough,CT,Hartford,6447,41.63306,-72.45472,6394.0,Suburban,America/New_York,Market researcher,2.0,26.0,Regular High School Diploma,Full Time,10114.81,Never Married,Female,Yes,44.73,16.0,1.0,1.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit Card (automatic),3.31,258.41,897.59,4,3,5,5,2,4,5,5
38,O739489,1659c53c-7045-445c-a222-08c53851aac1,Lafayette,NJ,Sussex,7848,41.10336,-74.68407,5059.0,Urban,America/New_York,"Surveyor, insurance",1.0,25.0,Bachelor's Degree,Full Time,51212.9,Never Married,Female,No,8.15,9.0,2.0,0.0,,One year,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,,No,No,Yes,Electronic Check,7.16,138.71,1340.93,5,6,4,2,5,3,3,3
39,I958127,9d8f0590-1da6-4b6f-ab72-ef78c8aaac24,Washington,DC,District of Columbia,20017,38.93845,-76.99317,20450.0,Suburban,America/New_York,Office manager,1.0,66.0,"Some College, Less than 1 Year",Full Time,25397.44,Divorced,Female,No,17.68,12.0,1.0,0.0,,Two Year,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Credit Card (automatic),9.85,185.81,1113.99,4,4,3,4,2,4,4,5
40,Z666770,e8e28d51-c371-4a39-a81c-0c08d2f1f6ba,Dublin,PA,Bucks,18917,40.37305,-75.2041,2123.0,Suburban,America/New_York,Editorial assistant,1.0,72.0,Regular High School Diploma,Full Time,50336.5,Divorced,Male,No,7.79,10.0,1.0,1.0,No,Two Year,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,No,No,No,No,Electronic Check,16.04,147.29,1530.11,3,4,3,6,4,4,6,2
41,X711438,3c086e5c-e913-43b6-90d0-30b15b7cd37f,Mantoloking,NJ,Ocean,8738,40.02145,-74.06183,1164.0,Urban,America/New_York,Customer service manager,3.0,43.0,Regular High School Diploma,Full Time,38211.37,Divorced,Female,No,38.91,12.0,1.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,Yes,Yes,,Yes,No,Yes,Mailed Check,9.18,199.93,3450.57,5,2,3,3,3,5,4,4
42,U369541,282e3c6b-40f1-4460-8afa-7f2a1e88f06c,Sproul,PA,Blair,16682,40.26608,-78.45782,23.0,Suburban,America/New_York,"Production designer, theatre/television/film",3.0,40.0,"Some College, 1 or More Years, No Degree",Retired,52887.26,Married,Male,No,6.52,16.0,2.0,0.0,No,Month-to-month,Yes,No,DSL,Yes,No,Yes,No,No,Yes,No,No,Yes,Electronic Check,6.18,105.94,892.9,3,3,2,3,5,4,3,3
43,S896111,e677e4d4-13aa-4fde-a48e-e34b94f422cd,Springer,OK,Carter,73458,34.35204,-97.25336,895.0,Suburban,America/Chicago,Analytical chemist,4.0,41.0,Master's Degree,Full Time,12003.33,Divorced,Male,Yes,11.2,11.0,1.0,2.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Credit Card (automatic),3.92,253.79,1125.58,3,3,3,5,1,4,3,4
44,K227200,d542a248-4059-4008-a6fb-b7bc6e897a1c,Homer City,PA,Indiana,15748,40.52449,-79.08432,6699.0,Suburban,America/New_York,Print production planner,4.0,63.0,"Some College, Less than 1 Year",Retired,24090.62,Never Married,Male,No,8.56,13.0,0.0,0.0,No,Two Year,Yes,Yes,Fiber Optic,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Electronic Check,18.56,192.76,2016.71,3,3,3,3,4,3,3,4
45,E818912,7ac233f7-4a78-4b44-95cf-37cc5c87cc41,New York,NY,New York,10035,40.7955,-73.92968,35743.0,Rural,America/New_York,Psychiatrist,0.0,52.0,"Some College, 1 or More Years, No Degree",Full Time,64367.24,Never Married,Female,Yes,13.89,6.0,0.0,0.0,No,Two Year,Yes,No,Fiber Optic,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Credit Card (automatic),8.8,243.37,1412.74,4,4,4,4,3,4,3,4
46,Y490834,79eb6124-9f8f-4329-90d1-903bd8bbb43d,Sagola,MI,Dickinson,49881,46.07835,-88.03348,320.0,Urban,America/Menominee,"Conservation officer, nature",2.0,44.0,Regular High School Diploma,Full Time,28446.16,Divorced,Female,Yes,10.88,5.0,1.0,0.0,No,Month-to-month,Yes,Yes,None,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Electronic Check,10.38,245.47,1965.93,3,3,2,2,4,3,5,2
47,B609739,bb4a7c2d-6524-41d6-b2ed-f7511509ff5b,Peoria,IL,Peoria,61606,40.6998,-89.61143,7870.0,Suburban,America/Chicago,Broadcast presenter,0.0,23.0,Associate's Degree,Retired,132116.33,Divorced,Male,Yes,12.61,11.0,1.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Bank Transfer(automatic),22.26,185.07,2384.89,4,4,5,2,2,4,3,3
48,E687638,a7cae1b4-3c31-4037-8755-ac692dba6d4c,Acme,WA,Whatcom,98220,48.68497,-122.19692,861.0,Suburban,America/Los_Angeles,Applications developer,3.0,43.0,Regular High School Diploma,Full Time,37358.13,Never Married,Female,Yes,9.32,11.0,1.0,0.0,,Month-to-month,No,No,Fiber Optic,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Credit Card (automatic),9.43,194.57,1213.94,4,5,3,4,3,3,4,3
49,E492264,1df1db19-9bfc-407a-a72c-203fada5b5d3,Chattanooga,TN,Hamilton,37416,35.10444,-85.17661,15364.0,Rural,America/New_York,"Librarian, public",1.0,86.0,"Some College, 1 or More Years, No Degree",Part Time,26534.16,Separated,Female,No,8.56,11.0,2.0,2.0,,Two Year,Yes,No,None,Yes,No,No,No,No,No,Yes,No,No,Bank Transfer(automatic),7.76,105.66,740.01,3,4,3,2,3,3,3,3
50,W255321,7abea12e-f7b4-4e5a-be09-6f9fb061f923,Harvey,ND,Wells,58341,47.77527,-99.85,2589.0,Suburban,America/Chicago,Financial adviser,2.0,84.0,Bachelor's Degree,Full Time,34646.05,Married,Female,No,12.38,14.0,0.0,1.0,No,Month-to-month,No,Yes,None,Yes,No,No,No,No,Yes,No,No,Yes,Electronic Check,11.57,92.43,897.97,3,3,4,3,5,3,3,4
51,S72442,6711579b-29d7-460e-bc34-10d4d1110a06,Goodwater,AL,Coosa,35072,33.08977,-86.06138,4901.0,Urban,America/Chicago,"Surveyor, building",2.0,63.0,"9th Grade to 12th Grade, No Diploma",Retired,40408.7,Separated,Female,Yes,9.52,13.0,3.0,0.0,No,Month-to-month,Yes,No,DSL,,Yes,No,No,Yes,Yes,No,Yes,No,Bank Transfer(automatic),3.34,185.55,1026.39,2,2,3,4,3,5,2,4
52,O845020,91dc4423-1f3b-4ff3-bb12-6da4c1deabe8,Lexington,NC,Davidson,27292,35.73451,-80.20925,39649.0,Urban,America/New_York,"Horticulturist, amenity",5.0,68.0,Doctorate Degree,Full Time,43820.85,Divorced,Female,Yes,8.55,12.0,1.0,0.0,,Month-to-month,Yes,No,None,,No,No,No,Yes,No,Yes,Yes,Yes,Credit Card (automatic),7.34,188.19,1234.24,2,3,3,5,4,2,3,2
53,D805597,e0ad6b64-9210-4998-aa82-05b6bc33873f,Transylvania,LA,East Carroll,71286,32.6644,-91.19645,456.0,Suburban,America/Chicago,Diagnostic radiographer,1.0,59.0,"9th Grade to 12th Grade, No Diploma",Student,38391.55,Never Married,Female,No,2.66,8.0,0.0,0.0,No,Month-to-month,No,No,Fiber Optic,Yes,No,No,No,Yes,No,Yes,No,Yes,Electronic Check,5.49,148.42,727.37,4,4,4,3,4,2,5,4
54,R189303,ccb06917-57e1-4595-94f7-4a54b1f0ec9d,Jolley,IA,Calhoun,50551,42.47954,-94.75105,94.0,Urban,America/Chicago,"Doctor, general practice",0.0,31.0,Regular High School Diploma,Full Time,44137.6,Separated,Female,Yes,8.51,6.0,0.0,0.0,Yes,One year,No,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,No,Yes,Credit Card (automatic),1.55,167.31,452.87,4,4,3,4,4,4,2,3
55,N142854,d207e3a8-6ae6-4567-9b5a-7ae8d8530d0c,Miller,NE,Buffalo,68858,40.95947,-99.37702,315.0,Urban,America/Chicago,Insurance risk surveyor,0.0,51.0,"Some College, 1 or More Years, No Degree",Full Time,25019.56,Widowed,Male,Yes,7.94,11.0,2.0,0.0,No,Month-to-month,Yes,No,Fiber Optic,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Mailed Check,12.08,158.9,1296.67,4,2,4,5,4,3,3,4
56,F522569,01051fb5-00df-4a7e-a284-b152a0b5ea47,Welch,WV,McDowell,24801,37.44262,-81.57762,4969.0,Suburban,America/New_York,Heritage manager,1.0,58.0,"Some College, 1 or More Years, No Degree",Full Time,62359.91,Separated,Female,No,12.14,11.0,1.0,1.0,No,One year,No,No,DSL,Yes,No,No,No,Yes,No,Yes,No,No,Mailed Check,13.99,131.18,1840.63,3,4,3,6,3,4,5,3
57,L384793,79c4473e-fd88-46bc-a276-e21783d598eb,Alvin,TX,Brazoria,77511,29.38147,-95.24205,46869.0,Suburban,America/Chicago,Legal executive,1.0,73.0,"9th Grade to 12th Grade, No Diploma",Full Time,82634.86,Married,Male,Yes,9.53,11.0,0.0,1.0,No,Month-to-month,No,No,DSL,Yes,No,No,Yes,No,No,No,No,Yes,Electronic Check,9.56,116.1,1324.33,5,4,3,5,3,3,5,4
58,C101444,5ed9b266-29a0-489e-88e0-59f9a0b39e49,Goleta,CA,Santa Barbara,93117,34.49127,-120.08222,58431.0,Rural,America/Los_Angeles,Professor Emeritus,0.0,33.0,Bachelor's Degree,Full Time,15690.25,Widowed,Female,No,11.31,11.0,0.0,1.0,No,Two Year,No,No,None,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Mailed Check,6.73,142.38,958.14,4,5,5,5,4,4,4,5
59,E987442,626e918e-7e34-4b0a-a92c-bd60db4b6173,Racine,WI,Racine,53403,42.68864,-87.82515,26182.0,Suburban,America/Chicago,Radio producer,1.0,44.0,Regular High School Diploma,Full Time,14568.7,Separated,Male,Yes,11.23,15.0,2.0,0.0,No,Two Year,Yes,No,None,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Credit Card (automatic),15.72,221.16,2222.54,3,5,3,2,4,5,5,4
